year,GEOID10,statefp,state_place,tract,state,county,POP,NHWHITE,NHBLACK,NATIVE,ASIAN,HISPANIC,NONWHITE,NHWHITE_PR,NHBLACK_PR,NATIVE_PR,ASIAN_PR,HISPANIC_PR,OTHER_PR,entropy,divergence
2000-01-31,06075012201,06,0667000,Census Tract 122.01,CA,San Francisco County,4723.0001,1838.848267,348.4345398,54.37995911,1495.113159,874.7788086,2772.70646651,0.38933902775060286,0.07377398526838905,0.011513859402628427,0.31656005237010265,0.18521676690203753,0.0235963083062396,1.2874143962495683,0.17661665075554206
2000-01-31,06075011901,06,0667000,Census Tract 119.01,CA,San Francisco County,2449.999981,1483.177612,73.83177185,15.42056084,665.8878174,193.9252319,949.06538199,0.6053786218376301,0.030135417315335887,0.006294106514117561,0.27179094798531755,0.07915315649139183,0.00724774985620702,0.99610534955956,0.304177196712081
2000-01-31,06075023103,06,0667000,Census Tract 231.03,CA,San Francisco County,4649,112,3496,11,734,271,4512,0.02409120240912024,0.7519896751989675,0.0023661002366100236,0.15788341578834159,0.058292105829210586,0.005377500537749991,0.7755296384347361,0.9198924061266632
2000-01-31,06075061000,06,0667000,Census Tract 610,CA,San Francisco County,2400,250,470,6,1358,309,2143,0.10416666666666667,0.19583333333333333,0.0025,0.5658333333333333,0.12875,0.0029166666666666785,1.1560229588807331,0.6865945880923903
2000-01-31,06075060700,06,0667000,Census Tract 607,CA,San Francisco County,653.0036843,353.5493469,73.41461182,8.693836212,164.2169037,45.40114212,291.726493852,0.5414201411114458,0.11242603002875584,0.013313609740685501,0.251479291232538,0.06952662475200065,0.011834303134574231,1.167899017702964,0.1947921859123256
2000-01-31,06075060400,06,0667000,Census Tract 604,CA,San Francisco County,1517.297695,835.6132202,111.9481812,5.997223854,430.8005981,115.9463348,664.692337954,0.5507246356160845,0.0737812899663042,0.003952569013821641,0.2839262193039844,0.07641633885168461,0.011198947248120539,1.0966953802152448,0.23902108360319105
2000-01-31,06075060100,06,0667000,Census Tract 601,CA,San Francisco County,2234,1603,129,23,241,211,604,0.7175470008952551,0.05774395702775291,0.010295434198746643,0.10787824529991047,0.09444941808415398,0.012085944494180767,0.9130384794738978,0.21101645247811227
2000-01-31,06075016200,06,0667000,Census Tract 162,CA,San Francisco County,2502,1444,267,18,363,381,1029,0.5771382893685052,0.10671462829736211,0.007194244604316547,0.145083932853717,0.15227817745803357,0.01159072741806555,1.1581925221515597,0.07242797466626034
2000-01-31,06075047702,06,0667000,Census Tract 477.02,CA,San Francisco County,3946,1580,70,18,2106,152,2346,0.4004054738976178,0.017739483020780537,0.00456158134820071,0.533705017739483,0.03852002027369488,0.005068423720223092,0.9231575904314029,0.6926179936007216
2000-01-31,06075047600,06,0667000,Census Tract 476,CA,San Francisco County,5431,2265,107,26,2782,202,3117,0.41705026698582215,0.01970171239182471,0.00478733198306021,0.5122445221874424,0.03719388694531394,0.009022279506536668,0.9327685890372706,0.6526030071856159
2000-01-31,06075045200,06,0667000,Census Tract 452,CA,San Francisco County,6695,2967,132,28,3229,287,3676,0.4431665421956684,0.019716206123973113,0.004182225541448843,0.4823002240477969,0.042867811799850636,0.007766990291262044,0.947676596348847,0.5985388038022089
2000-01-31,06075045100,06,0667000,Census Tract 451,CA,San Francisco County,5102,2057,156,12,2635,208,3011,0.40317522540180323,0.03057624460995688,0.002352018816150529,0.5164641317130537,0.04076832614660917,0.006664053312426477,0.9588150112559326,0.6333871778344745
2000-01-31,06075042800,06,0667000,Census Tract 428,CA,San Francisco County,2451,1873,18,8,468,76,570,0.7641778865769074,0.0073439412484700125,0.0032639738882088943,0.1909424724602203,0.031007751937984496,0.00326397388820876,0.6841673953303189,0.45162938738660374
2000-01-31,06075042700,06,0667000,Census Tract 427,CA,San Francisco County,5513,2729,88,17,2369,255,2729,0.4950117903138037,0.015962270995828042,0.0030836205332849627,0.42971159078541626,0.04625430799927444,0.009976419372392686,0.9370713282892869,0.5298989411796904
2000-01-31,06075040200,06,0667000,Census Tract 402,CA,San Francisco County,5364,2853,82,22,2127,233,2464,0.5318791946308725,0.015287099179716629,0.004101416853094705,0.3965324384787472,0.04343773303504847,0.008762117822520454,0.9252813776304555,0.5006300026923546
2000-01-31,06075040100,06,0667000,Census Tract 401,CA,San Francisco County,4348,2335,104,23,1630,228,1985,0.5370285188592456,0.02391904323827047,0.0052897884084636615,0.374885004599816,0.05243790248390064,0.0064397424103036505,0.9733001604041054,0.44271906864979915
2000-01-31,06075035300,06,0667000,Census Tract 353,CA,San Francisco County,7082,2377,59,34,4189,363,4645,0.335639649816436,0.008330979949166902,0.0048009036995199095,0.59149957639085,0.051256707144874326,0.008472182999152866,0.8948142731423165,0.7966727458162001
2000-01-31,06075035201,06,0667000,Census Tract 352.01,CA,San Francisco County,5587,1903,163,39,3125,305,3632,0.34061213531412204,0.029174870234472884,0.006980490424199033,0.5593341686056917,0.05459101485591552,0.009307320565598798,0.988337797424947,0.6877597108888116
2000-01-31,06075035100,06,0667000,Census Tract 351,CA,San Francisco County,7756,2839,112,23,4345,354,4834,0.36603919546157815,0.01444043321299639,0.00296544610624033,0.5602114492006188,0.04564208354822073,0.010701392470345628,0.9118336072354244,0.7286926988659457
2000-01-31,06075035202,06,0667000,Census Tract 352.02,CA,San Francisco County,4436,2021,84,30,1938,301,2353,0.4555906221821461,0.018935978358881875,0.006762849413886384,0.4368800721370604,0.06785392245266006,0.013976555455365136,1.011402841146212,0.4933330027214564
2000-01-31,06075033000,06,0667000,Census Tract 330,CA,San Francisco County,7496,3324,121,40,3533,408,4102,0.4434364994663821,0.01614194236926361,0.005336179295624333,0.4713180362860192,0.054429028815368194,0.0093383137673426209,0.9681064772540605,0.5708074880570618
2000-01-31,06075032700,06,0667000,Census Tract 327,CA,San Francisco County,6498,2679,86,24,3340,270,3720,0.41228070175438597,0.013234841489689135,0.003693444136657433,0.5140043090181594,0.04155124653739612,0.015235457063711877,0.9174781389907126,0.6570657331403594
